MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
OPSC,ODU,Principal Job Analyst ,456,PSS 6.1,2577000,Filled,,,,,,,,,,
OPSC,ODU,Principal Organization Perfornmance Audit & Evaluation,474,PSS 6.1,2577000,Advertisement ,,,,,,,,,,
OPSC,ODU,Organizational Development Officer ,488,PSS 4.1,1400000,Vacant ,,,,,,,,,,
OPSC,IPDU,Principal Officer ( Digital and Innovation),545,PSS 6.1,2577000,Filled,,,,,,,,,,
OPSC,VIPAM,Principal Development Officer ,489,PSS 6.1,2577000,Recruitment Process,,,,,,,,,,
OPSC,VIPAM,Senior Development Officer ,466,PSS 5.5,2250000,Filled (Internship),,,,,,,,,,
OPSC,CIU,Manager Compliance ,446,PSL 5.1,3397000,Occupied (Contract),,,,,,,,,,
MOH,CSU,Finance Manager ,8014,PSL 4.1,2893000,Recruitment Process,,,,,,,,,,
MOH,CSU,Principal Health Planner ,8083,PSS 6.1,2577000,Occupied (Contract),,,,,,,,,,
MOH,CSU,Executive Officer ,8002,PSL 5.1,3397000,Filled (Temporary),,,,,,,,,,
MOH,CSU,Executive Secretary ,8006,PSS 4.1,1400000,Recruitment Process,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,9016,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,10187,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,11343,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,11001,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,9869,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
MOH,Curative & Hospital Services ,Medical Supretendent ,11714,LMO 8.1,6161000,Awaits Commission Decision ,,,,,,,,,,
